ROLE,OD_PRODUCT_CODE,OD_SUBPROD_CODE,OD_FUNCTION_CODE
MAKER,CORESVS,CASASVS,VSBLTY
MAKER,CORESVS,CORESVS,VSBLTY
MAKER,PAYMNT,A2ASELF,AMNDSI
MAKER,PAYMNT,A2ASELF,LOCKTXN
MAKER,PAYMNT,A2ASELF,create
MAKER,PAYMNT,A2ASELF,UPLOAD
MAKER,PAYMNT,A2ASELF,inquiry
MAKER,PAYMNT,A2ASELF,siinquiry
MAKER,PAYMNT,A2ASELF,SNDADV
MAKER,PAYMNT,A2ASELF,TINVINIT
MAKER,PAYMNT,A2ATP,AMNDSI
MAKER,PAYMNT,A2ATP,LOCKTXN
MAKER,PAYMNT,A2ATP,create
MAKER,PAYMNT,A2ATP,UPLOAD
MAKER,PAYMNT,A2ATP,inquiry
MAKER,PAYMNT,A2ATP,siinquiry
MAKER,PAYMNT,A2ATP,SNDADV
MAKER,PAYMNT,A2ATP,TINVINIT
MAKER,PAYMNT,BENE,BENEUPLOAD
MAKER,PAYMNT,BENE,amendbene
MAKER,PAYMNT,BENE,crbene
MAKER,PAYMNT,BENE,inquiry
MAKER,PAYMNT,BILLPAY,create
MAKER,PAYMNT,BILLPAY,inquiry
MAKER,PAYMNT,CBFT,AMNDSI
MAKER,PAYMNT,CBFT,LOCKTXN
MAKER,PAYMNT,CBFT,create
MAKER,PAYMNT,CBFT,UPLOAD
MAKER,PAYMNT,CBFT,inquiry
MAKER,PAYMNT,CBFT,siinquiry
MAKER,PAYMNT,CBFT,SNDADV
MAKER,PAYMNT,CBFT,TINVINIT
MAKER,PAYMNT,DFT,AMNDSI
MAKER,PAYMNT,DFT,LOCKTXN
MAKER,PAYMNT,DFT,create
MAKER,PAYMNT,DFT,UPLOAD
MAKER,PAYMNT,DFT,inquiry
MAKER,PAYMNT,DFT,siinquiry
MAKER,PAYMNT,DFT,SNDADV
MAKER,PAYMNT,DFT,TINVINIT
MAKER,PAYMNT,PAYROLL,LOCKTXN
MAKER,PAYMNT,PAYROLL,SNDADV
MAKER,PAYMNT,PAYROLL,UPLOAD
MAKER,PAYMNT,PAYROLL,inquiry
VERIFIER,CORESVS,CORESVS,AUTTXN
VERIFIER,CORESVS,CORESVS,VSBLTY
VERIFIER,PAYMNT,A2ASELF,AUTTXN
VERIFIER,PAYMNT,A2ASELF,CNCLSI
VERIFIER,PAYMNT,A2ASELF,CNTXN
VERIFIER,PAYMNT,A2ASELF,inquiry
VERIFIER,PAYMNT,A2ASELF,siinquiry
VERIFIER,PAYMNT,A2ATP,AUTTXN
VERIFIER,PAYMNT,A2ATP,CNCLSI
VERIFIER,PAYMNT,A2ATP,CNTXN
VERIFIER,PAYMNT,A2ATP,inquiry
VERIFIER,PAYMNT,A2ATP,siinquiry
VERIFIER,PAYMNT,BENE,AUTTXN
VERIFIER,PAYMNT,BENE,cnbene
VERIFIER,PAYMNT,BENE,inquiry
VERIFIER,PAYMNT,BILLPAY,AUTTXN
VERIFIER,PAYMNT,BILLPAY,inquiry
VERIFIER,PAYMNT,CBFT,AUTTXN
VERIFIER,PAYMNT,CBFT,CNCLSI
VERIFIER,PAYMNT,CBFT,CNTXN
VERIFIER,PAYMNT,CBFT,inquiry
VERIFIER,PAYMNT,CBFT,siinquiry
VERIFIER,PAYMNT,DFT,AUTTXN
VERIFIER,PAYMNT,DFT,CNCLSI
VERIFIER,PAYMNT,DFT,CNTXN
VERIFIER,PAYMNT,DFT,inquiry
VERIFIER,PAYMNT,DFT,siinquiry
VERIFIER,PAYMNT,PAYROLL,AUTTXN
VERIFIER,PAYMNT,PAYROLL,CNTXN
VERIFIER,PAYMNT,PAYROLL,inquiry
AUTHORIZER,CORESVS,CORESVS,AUTTXN
AUTHORIZER,CORESVS,CORESVS,VSBLTY
AUTHORIZER,PAYMNT,A2ASELF,AUTTXN
AUTHORIZER,PAYMNT,A2ASELF,CNCLSI
AUTHORIZER,PAYMNT,A2ASELF,CNTXN
AUTHORIZER,PAYMNT,A2ASELF,inquiry
AUTHORIZER,PAYMNT,A2ASELF,siinquiry
AUTHORIZER,PAYMNT,A2ATP,AUTTXN
AUTHORIZER,PAYMNT,A2ATP,CNCLSI
AUTHORIZER,PAYMNT,A2ATP,CNTXN
AUTHORIZER,PAYMNT,A2ATP,inquiry
AUTHORIZER,PAYMNT,A2ATP,siinquiry
AUTHORIZER,PAYMNT,BENE,AUTTXN
AUTHORIZER,PAYMNT,BENE,cnbene
AUTHORIZER,PAYMNT,BENE,inquiry
AUTHORIZER,PAYMNT,BILLPAY,AUTTXN
AUTHORIZER,PAYMNT,BILLPAY,inquiry
AUTHORIZER,PAYMNT,CBFT,AUTTXN
