OD_PRODUCT_CODE,OD_SUBPROD_CODE,OD_FUNCTION_CODE,VERIFICATION_REQ,RELEASE_REQ
ADMIN,ADMIN,ACGRP1,N,N
ADMIN,ADMIN,ACGRP2,N,N
ADMIN,ADMIN,ACGRP3,N,N
ADMIN,ADMIN,ACGRP4,N,N
ADMIN,ADMIN,ACGRP5,N,N
ADMIN,ADMIN,BUARE,N,N
ADMIN,ADMIN,CLSUSER,N,N
ADMIN,ADMIN,CLSUSER2,N,N
ADMIN,ADMIN,COPREF1,N,N
ADMIN,ADMIN,COPREF2,N,N
ADMIN,ADMIN,COPREF3,N,N
ADMIN,ADMIN,CRTL01,N,N
ADMIN,ADMIN,CRTL02,N,N
ADMIN,ADMIN,CRTL03,N,N
ADMIN,ADMIN,CRTL04,N,N
ADMIN,ADMIN,CUARE,N,N
ADMIN,ADMIN,CUC001,N,N
ADMIN,ADMIN,CUC002,N,N
ADMIN,ADMIN,CUC003,N,N
ADMIN,ADMIN,CUC004,N,N
ADMIN,ADMIN,CUC005,N,N
ADMIN,ADMIN,CUPR01,N,N
ADMIN,ADMIN,CUPR02,N,N
ADMIN,ADMIN,CUPR03,N,N
ADMIN,ADMIN,CUPR04,N,N
ADMIN,ADMIN,CUPR05,N,N
ADMIN,ADMIN,CUST_PROF_RPT,N,N
ADMIN,ADMIN,DABUSR,N,N
ADMIN,ADMIN,DABUSR2,N,N
ADMIN,ADMIN,ENBUSR,N,N
ADMIN,ADMIN,ENBUSR2,N,N
ADMIN,ADMIN,ENTARE,N,N
ADMIN,ADMIN,LMTS01,N,N
ADMIN,ADMIN,LMTS02,N,N
ADMIN,ADMIN,LMTS03,N,N
ADMIN,ADMIN,LMTS04,N,N
ADMIN,ADMIN,LMTS05,N,N
ADMIN,ADMIN,REGENPWD,N,N
ADMIN,ADMIN,REGENPWD2,N,N
ADMIN,ADMIN,REOPNUSR,N,N
ADMIN,ADMIN,REOPNUSR2,N,N
ADMIN,ADMIN,ROLE01,N,N
ADMIN,ADMIN,ROLE03,N,N
ADMIN,ADMIN,ROLE05,N,N
ADMIN,ADMIN,RULE01,N,N
ADMIN,ADMIN,RULE02,N,N
ADMIN,ADMIN,RULE03,N,N
ADMIN,ADMIN,RULE04,N,N
ADMIN,ADMIN,RULE05,N,N
ADMIN,ADMIN,TXNARE,N,N
ADMIN,ADMIN,UGC001,N,N
ADMIN,ADMIN,UGC002,N,N
ADMIN,ADMIN,UGC003,N,N
ADMIN,ADMIN,UGC004,N,N
ADMIN,ADMIN,UGC005,N,N
ADMIN,ADMIN,UGP001,N,N
ADMIN,ADMIN,UGP002,N,N
ADMIN,ADMIN,UGP003,N,N
ADMIN,ADMIN,UGP004,N,N
ADMIN,ADMIN,UGP005,N,N
ADMIN,ADMIN,VSBLTY,N,N
CORESVS,CASASVS,VSBLTY,N,N
CORESVS,CORESVS,AUTTXN,N,N
CORESVS,CORESVS,VSBLTY,N,N
