SUBPRODUCT_CODE,PRODUCT,SUBPRODUCT,SUBPRODUCT_NAME , TYPE , ATTR_LEVEL , CATEGORY
A2ATP,PAYMNT,A2A3PARTY,A2A3PARTY - Account to Account Third Party,P,C,Outward
A2ASELF,PAYMNT,A2ASELF,A2ASELF - Own Account Transfer,P,C,Outward
BILLPAY,PAYMNT,BILLPAY,Bill Payments,P,C,Outward
DFT-OUTWARD,PAYMNT,INSTAPAY,INSTAPAY - INSTPAY Payment,P,C,Outward
DFT-WIRED,PAYMNT,PDDTS,PDDTS - Philpass Domestic Dollar Payment,P,C,Outward
DFT-OUTWARD,PAYMNT,PESONET,PESONET - PESONET Payment,P,C,Outward
DFT-OUTWARD,PAYMNT,RTGS,Philpass RTGS Payment,P,C,Outward
CBFT,PAYMNT,SWIFT,SWIFT,P,C,Outward
A2ATP,PAYMNT,A2ATP,A2A3PARTY - Account to Account Third Party,B,C,Outward
A2ASELF,PAYMNT,A2ASELF,A2ASELF - Own Account Transfer,B,C,Outward
BILLPAY,PAYMNT,BILLPAYMENT,Bill Payments,B,C,Outward
DFT-OUTWARD,PAYMNT,PHINSTAPAY,INSTAPAY - INSTPAY Payment,B,C,Outward
DFT-WIRED,PAYMNT,PHILPASSPDDTS,PDDTS - Philpass Domestic Dollar Payment,B,C,Outward
DFT-OUTWARD,PAYMNT,PHPESONET,PESONET - PESONET Payment,B,C,Outward
DFT-OUTWARD,PAYMNT,PHILPASSRTGS,Philpass RTGS Payment,B,C,Outward
CBFT,PAYMNT,CBFT,SWIFT,B,C,Outward
MIXED,PAYMNT,MIXED,MIXED - Mixed File Upload,B,C,Outward
PAYROLL,PAYMNT,PAYROLL,PAYROLL - Payroll Upload,B,C,Outward
CASHACC,CORESVS,CASHACC,Cash Accounts,T,P,
